id,form,edit form,hyperlink,dict,количество компонентов в смысловой части,позиция компонентов смысловой части,позиция коннектора в составе клаузы,phonvar,pos,type of pos,meaning,Non-connector,Стилистич. ограничения,Example,other_senses,other_pos,semfield1,subfield1,semfield2,subfield2,semfield1_ed,subfield1_ed,semfield2_ed,subfield2_ed,sem_comment,inside_info,Основная часть,Коррелят,Обязательность коррелята,Обязательность компонентов,Комментарий,Разработчик,,
1,а,,,МАС,однокомпонентный,NA,начальная,NA,союз,,противительный,NA,,"Учится девочка в консерватории, постоянно в хорошем обществе, а родители все равно ей недовольны. [Сконструированный пример]",NA,"частица, междометие",адверсатив,противительное,NA,NA,адверсатив,противительность,конъюнкция,сопоставление,"Противительный союз а не имеет точных аналогов в других языках <…> В работе [Зализняк, Микаэлян 2005] он признаётся лингвоспецифичным словом, показателем идеи отсутствия контроля Субъекта над обстоятельствами. <…> В работе [Урысон 2011: 170-171] <…> союз а указывает на незнание говорящим факторов, благодаря которым неожиданная ситуация все-таки имеет место. Таким образом, союз а как бы фиксирует удивление говорящего, в отличие от более объективного но. [Падучева 1997]: союз а, в отличие от но, имеет эгоцентрическую семантику [Апресян Пекелис 2011]",NA,а,NA,NA,,,Диана,,
2,а,,,МАС,однокомпонентный,NA,начальная,NA,союз,,сопоставительный,NA,,Что ж мой Онегин?/ Полусонный/ В постелю с бала едет он:/ А Петербург неугомонный/ Уж барабаном пробужден. [МАС] OLD,NA,"частица, междометие",конъюнкция,сопроставительное,NA,NA,конъюнкция,сопоставление,NA,NA,NA,NA,а,NA,NA,,,Диана,,
3,а,,,МАС,однокомпонентный,NA,начальная,NA,союз,,присоединительный,NA,,"Ширвиндт даже сказал: «Надо дать ему какой-нибудь памятный автограф», а я ответил: «Не надо, автографы даю я сам». [НКРЯ: Евгений Петросян. Армейский юмор (2004) // «Народное творчество», 16.02.2004] GOOD",NA,"частица, междометие",конъюнкция,присоединительное,NA,NA,мереология,аддитивность,таксис,следование,"Таксисное значение может быть проанализировано не как допольнительная семантическая зона, а в терминах импликатуры, обычно задаваемой сочинением: линейный порядок калуз отражает порядок ситуаций.",NA,а,NA,NA,,,Диана,,
4,а,,,МАС,однокомпонентный,NA,начальная,NA,союз,,присоединительно-усилительный,NA,,"Ничего не сделать, ничего не достигнуть — в продолжение целого года — значит потерять год, значит не жить в продолжение целого года. А сколько таких годов теряется у людей! [МАС] OLD",NA,"частица, междометие",конъюнкция,присоединительное,NA,NA,конъюнкция,присоединение,NA,NA,NA,NA,а,NA,NA,,,Диана,,
5,а,,,Уш,однокомпонентный,NA,начальная,NA,союз,,противительный,NA,,"Вид у него суровый, а сердце доброе. [Морк] NOTFOUND",NA,частица; междометие,адверсатив,противительное,NA,NA,адверсатив,противительность,NA,NA,NA,NA,а,NA,NA,,,Диана,,
6,а,,,Морк,однокомпонентный,NA,начальная,NA,союз,,сопоставительный,NA,,"Я буду диктовать, а ты пиши. [Морк] GOOD",NA,частица,конъюнкция,сопоставительное,NA,NA,конъюнкция,сопоставление,NA,NA,NA,NA,а,NA,NA,,,Диана,,
7,а,,,Морк,однокомпонентный,NA,начальная,NA,союз,,противительный,NA,,"Вид у него суровый, а сердце доброе. [Морк] NOTFOUND",NA,частица,адверсатив,противительное,NA,NA,адверсатив,противительность,NA,NA,NA,NA,а,NA,NA,,,Диана,,
8,а,,,Морк,однокомпонентный,NA,начальная,NA,союз,,противительно-уступительный,NA,,"На улице мороз, а он ходит без шапки. [Морк] NOTFOUND",NA,частица,адверсатив,противительное,NA,NA,адверсатив,противительность,NA,NA,NA,NA,а,NA,NA,,,Диана,,
9,а,,,Морк,однокомпонентный,NA,начальная,NA,союз,,"присоединительный: для фактов, занимающих следующее место в последовательности описания",NA,,"Ширвиндт даже сказал: «Надо дать ему какой-нибудь памятный автограф», а я ответил: «Не надо, автографы даю я сам». [НКРЯ: Евгений Петросян. Армейский юмор (2004) // «Народное творчество», 16.02.2004] GOOD",NA,частица,конъюнкция,присоединительное,NA,NA,мереология,аддитивность,таксис,следование,NA,NA,а,NA,NA,,,Диана,,
10,а,,,Морк,однокомпонентный,NA,начальная,NA,союз,,противительно-уступительный,NA,,"Я послал им телеграмму, а большего мне сделать не удалось. [Видоизмененый пример из Морк] NOTFOUND",NA,частица,конъюнкция,присоединительное,NA,NA,адверсатив,противительность,NA,NA,NA,NA,а,NA,NA,,,Диана,,
