linker,semfield1_ed,id,source,parts.num,parts.order,parts.order.example,linker_position,linker_position_exclusivity,position.example,mainpart,correl,correl.oblig,correl.oblig.example,comp.oblig,comment,public_comments,correl.position,correl.position.example,clause.order,clause.order.example,clause order comments,dep.clause.type,expansion,indep.sentence,indep.sentence.example,inferential.example,illoc example,metatext example,phonvar,pos,pos.type,meaning,style,example,other_senses,other_pos,subfield1_ed,semfield2_ed,subfield2_ed,sem_comment,inside_info,developer
а,адверсатив,1; 5; 7; 8; 10; 11; 14; 16; 21,МАС; Уш; Морк; БТС; АГ-80; ЕФР; ШЩ,mono,NA,,initial,exclusively,,а,NA,NA,,NA,NA,,NA,,postposition,,,финитная,,да,"У меня жизнь сложилась так, что раньше только мечтала поехать в страну изучаемого языка. А сейчас появилась возможность. (НКРЯ)","Во всех окнах горит свет, а в квартире никого нет. [Урысон 2006]","Я тебе не говорила, а ты родился с маленькой дырочкой в сердце. [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,союз,NA,"противительный; противительно-уступительный; противопоставление, сопоставление (обычно с уступительным оттенком); сопоставительный; противопоставление или сопоставление; противопоставительное",NA,"Учится девочка в консерватории, постоянно в хорошем обществе, а родители все равно ей недовольны. (констр); Вид у него суровый, а сердце доброе. (Морк); На улице мороз, а он ходит без шапки. (Морк); Я послал им телеграмму, а большего сделать не мог. (Морк); Ты моряк, а он лётчик; Ну вот, начали за здравие, а кончили за упокой.; Дом старый, а прочный. (ШЩ)","NA; 1. для усиления выразительности 2. при повторном обращении к кому-л. для привлечения внимания. 3. вопросительный отклик на обращение или при переспрашивании 4. побуждение к ответу или к действиям 5. (в восклиц. и вопросит, предл.) сильное удивление, восхищение или возмущение 6. припоминание, узнавание при встрече, догадка 7. удовольствие, радость, удивление при виде кого-, чего-л. 8. досада, негодование, угроза, злорадство 9. решимость с оттенком досады, отчаяния 10. ужас, отчаяние, боль; частица-союз; 1. отклик на обращение как действие 2. выражение возгласом сильного чувства или физической боли как действие 3. выражение возгласом догадки о чем-л. или вспоминания чего-л. как действие 4. выражение возгласом узнавания кого-л. при встрече как действие 5. вопросительный отклик на обращение: что? 6. в репликах, требующих подтверждения сказанного&#10;собеседником: не так ли? не правда ли? 7. возглас, выражающий сильное чувство или физическую боль 8. возглас, выражающий догадку, радостное удивление, злорадное торжество: ага! 9. возглас, выражающий узнавание кого-л. при встрече или означающий вспоминание чего-л.","частица, междометие; частица; междометие; частица; предикатив; частица; междометие",противительность,конъюнкция; NA,сопоставление; NA,NA,NA,Катя
а,композиция текста,18,ШЩ,mono,NA,,initial,exclusively,,а,NA,NA,,NA,NA,,NA,,postposition,,,финитная,,да,"Хотя говорят, в нашем старом цирке на Цветном Бульваре идут отличные программы. А я с подругами завтра пойду на «Нотр-Дам де Пари», но не какой-нибудь, а с оригинальным, франко-канадским составом! (НКРЯ)",,,"Они шли беспорядочной толпой, спотыкаясь, сталкиваясь, как стадо, которое гонят на бойню. А верно, тогда так и говорили: не «ведут», а «гонят» пленных. [НКРЯ]",NA,частица,модальная,неподготовленность вопроса или неожиданность сообщения,NA,А какая завтра будет погода? (ШЩ),отклик на обращение или побуждение к повторению; желание получить подтверждение; побуждение согласиться с оценкой; побуждение откликнуться на обращение,союз; междометие,смена топика,NA,NA,NA,NA,Катя
а,конъюнкция,2; 4; 6; 13; 20,МАС; Морк; БТС; ШЩ,mono,NA,,initial,exclusively,,а,NA,NA,,NA,NA,,NA,,postposition,,,финитная,,да,Обязательно схожу. А Вам желаю прекрасно отдохнуть. (НКРЯ),,"Советский Союз — это концлагерь, а какой может быть бизнес в концлагере? [НКРЯ: Екатерина Григорьева, Елена Загородняя, Игорь Моисеев. Кремлевская мечта. Четыре президента сочинили новый экономический союз // «Известия», 2003.02.24]; Какие из них наиболее прибыльные, а какие не оправдали ваших ожиданий? [НКРЯ: Александр Виноградов: «Технология -- это всегда носитель услуги» // «Известия», 2001.12.27]","Все эти привилегии Лобачевский получил годом ранее, когда директор (а именно так называлась должность главы Казанского университета вплоть до 1814 г..<...>) университета Яковкин посчитал, что, возможно, материальная помощь и ответственность старосты образумят талантливого юношу. [НКРЯ]",NA,союз,NA,"сопоставительный; присоединительно-усилительный; развитие, дополнение, пояснение высказанной мысли или характеристику, оценку сказанного; сопоставительное",NA,"Что ж мой Онегин? Полусонный В постелю с бала едет он: А Петербург неугомонный Уж барабаном пробужден. (МАС); Ничего не сделать, ничего не достигнуть — в продолжение целого года — значит потерять год, значит не жить в продолжение целого года. А сколько таких годов теряется у людей! (МАС); Я буду диктовать, а ты пиши. (Морк); Заблудился, видно, а плутать в тайге - гиблое дело; Девочке шесть лет, а мальчику восемь. (ШЩ)","NA; 1. для усиления выразительности 2. при повторном обращении к кому-л. для привлечения внимания. 3. вопросительный отклик на обращение или при переспрашивании 4. побуждение к ответу или к действиям 5. (в восклиц. и вопросит, предл.) сильное удивление, восхищение или возмущение 6. припоминание, узнавание при встрече, догадка 7. удовольствие, радость, удивление при виде кого-, чего-л. 8. досада, негодование, угроза, злорадство 9. решимость с оттенком досады, отчаяния 10. ужас, отчаяние, боль","частица, междометие; частица; частица; междометие",сопоставление; присоединение,NA,NA,NA,NA,Катя
а,мереология,3; 9; 12; 15; 17; 19,МАС; Морк; БТС; АГ-80; ЕФР; ШЩ,mono,NA,,initial,exclusively,,а,NA,NA,,NA,NA,,NA,,postposition,,,финитная,,да,Я сроду ни на какие гранты не подавал. А Сороса всегда козлом считал. (НКРЯ),,"У Красавицы были печальные глазки, а что она выделывала своими лапками! [НКРЯ: Василий Аксенов. Звездный билет // «Юность», 1961]",Примеры не обнаружены,NA,союз; частица-союз; частица,NA; метатекстовая,"присоединительный; присоединительный: для фактов, занимающих следующее место в последовательности описания; пространственная или временная последовательность предметов, явлений, событий; соединительный; присоединение предложений или членов предложения (с указанием на их очередность или временную последовательность); привлекает внимание к доп. характеристике сообщаемого",NA,"В конце сада был обрыв над рекой, а за обрывом — предрассветные дождливые дали. (МАС); За домом сад, а за садом - река. (Морк); Мы отправились на охоту, а с охоты - домой; Последние приготовления закончены, дедушка проинструктирован, я лежу в воде, температура которой 37,5, а бабушка сидит рядом и мылит мочалку.; Кормят у них замечательно. А какие там фрукты! (ШЩ)","NA; 1. для усиления выразительности 2. при повторном обращении к кому-л. для привлечения внимания. 3. вопросительный отклик на обращение или при переспрашивании 4. побуждение к ответу или к действиям 5. (в восклиц. и вопросит, предл.) сильное удивление, восхищение или возмущение 6. припоминание, узнавание при встрече, догадка 7. удовольствие, радость, удивление при виде кого-, чего-л. 8. досада, негодование, угроза, злорадство 9. решимость с оттенком досады, отчаяния 10. ужас, отчаяние, боль; союз; 1. отклик на обращение как действие 2. выражение возгласом сильного чувства или физической боли как действие 3. выражение возгласом догадки о чем-л. или вспоминания чего-л. как действие 4. выражение возгласом узнавания кого-л. при встрече как действие 5. вопросительный отклик на обращение: что? 6. в репликах, требующих подтверждения сказанного&#10;собеседником: не так ли? не правда ли? 7. возглас, выражающий сильное чувство или физическую боль 8. возглас, выражающий догадку, радостное удивление, злорадное торжество: ага! 9. возглас, выражающий узнавание кого-л. при встрече или означающий вспоминание чего-л.; отклик на обращение или побуждение к повторению; желание получить подтверждение; побуждение согласиться с оценкой; побуждение откликнуться на обращение","частица, междометие; частица; частица; междометие; предикатив; частица; междометие; союз; междометие",аддитивность,таксис; NA; конъюнкция,следование; NA; присоединение,NA,NA,Катя
а в особенности,мереология,22,АГ-80,poly,nobreak,,initial,,,а в особенности,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,"Где продаются водяные черепахи, а в особенности - где в вашем городе можно купить трионикса? [Видоизмененный пример из Google]",,NA,союзное соединение,NA,"различающе-соединительный. выделительный, включение",NA,"Мы все долго готовились, а в особенности расстаралась Катя. (Сконструированный пример)",NA,NA,конкретизация,NA,NA,NA,NA,
а в результате,следствие,23,БТС,poly,nobreak,,initial,,,а в результате,NA,нет,,оба обязательны,NA,,NA,,postposition,,,,,,,,,,NA,в зн. союза,NA,"но, несмотря на это, вопреки этому",NA,"Она готовилась к конкурсу, а в результате ее все обогнали. (Сконструированный пример)",NA,NA,результат,адверсатив,противительность,единый коннектор,NA,
а вдобавок,мереология,25; 26; 27,Морк; БТС; ЕФР,poly,nobreak,,initial,,,а вдобавок,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,"Друзьями то они сроду не были, скорее наоборот, а вдобавок кто сказал, что мы вообще при делах? [НКРЯ: В. Поляков. Закон калибра 9 мм (2020)]",,NA,союз,NA,"присоединительный; сверх того, к тому же; дополнительное сообщение: да ещё, к тому же, да вдобавок, плюс к тому",NA,"Соблюдай личную гигиену, чисть зубы нитью, как проститутка в «Красотке», и сто грехов тебе простятся, а вдобавок тебя полюбит Ричард Гир. [А. И. Слаповский. Разнобой // «Волга», 2012]",NA,NA,аддитивность,NA; конъюнкция,NA; присоединение,NA,NA,
а ведь,адверсатив,28; 29,Морк,poly,nobreak,,initial,exclusively,,а ведь,NA,NA,,NA,NA,,NA,,"interposition, postposition",,,финитная,,да,Он прекрасно выглядит. А ведь ему 70 лет. (Измененный пример из Морк),,"Я тебе не говорила, а ведь ты родился с маленькой дырочкой в сердце. [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,союз,NA,противительно-уступительный; присоединительный,NA,"Он прекрасно выглядит, а ведь ему 70 лет. (Морк); Она идет в этот поход без всякой подготовки, а ведь это опасно. (Морк)",NA,NA,уступка; противительность,NA; конъюнкция,NA; присоединение,NA,NA,
а ведь,конъюнкция,30; 31,АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,а ведь,NA,NA,,NA,NA,,NA,,"interposition, postposition",,,финитная,,да,Она идет в этот поход без всякой подготовки. А ведь нужно еще купить снаряжение. (Сконструированный пример),,"Советский Союз — это концлагерь, а ведь какой может быть бизнес в концлагере? [Видоизмененный пример из НКРЯ]","Наконец, прямое указание находим в фольклоре (а ведь буквальное значение слова folklore — ‘народная мудрость’). [НКРЯ] Целковых вызвал их «благодетель» и с осунувшимся лицом сказал: «В общем, так: либо сейчас и насовсем, либо никогда.  А ведь это страшное слово — «насовсем», особенно если оно соединяется со словом «Родина». [НКРЯ]",NA,союзное соединение; союз,NA,"NA; противопоставление с уступительным оттенком: хотя, несмотря на то что",NA,"Она идет в этот поход без всякой подготовки, а ведь нужно еще купить снаряжение. (Сконструированный пример)",NA,NA,присоединение,NA,NA,NA,NA,
а вернее сказать,переформулирование,32,БТС,poly,nobreak,,initial,,,а вернее сказать,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,"С какой стати ему было обо мне заботиться, а вернее сказать – как он вообще мог обо мне позаботиться? [Google]",,NA,в зн. союза,NA,уточнение,NA,"Мы находимся в безвыходной ситуации, а вернее сказать, проблема не решится в ближайшее время. (Сконструированный пример)",NA,NA,NA,мереология,конкретизация,NA,NA,
